Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Length,Mean,Error,StdDev,Ratio,RatioSD,Gen0,Gen1,Allocated,Alloc Ratio
SafeOld,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,AsciiSafe,4096,"3,275.519 ns",28.1041 ns,7.2985 ns,1.00,0.00,0.0000,0.0000,0 B,NA
SafeNew,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,AsciiSafe,4096,227.880 ns,35.3952 ns,9.1920 ns,0.07,0.00,0.0000,0.0000,0 B,NA
ClassifyOld,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Classify,16,5.615 ns,0.2797 ns,0.0433 ns,1.00,0.01,0.0000,0.0000,0 B,NA
ClassifyNew,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Classify,16,3.338 ns,0.1919 ns,0.0498 ns,0.59,0.01,0.0000,0.0000,0 B,NA
ClassifyOld,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Classify,256,81.956 ns,3.2293 ns,0.8387 ns,1.00,0.01,0.0000,0.0000,0 B,NA
ClassifyNew,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Classify,256,6.626 ns,0.3028 ns,0.0786 ns,0.08,0.00,0.0000,0.0000,0 B,NA
ClassifyOld,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Classify,4096,153.557 ns,8.9857 ns,2.3335 ns,1.00,0.02,0.0000,0.0000,0 B,NA
ClassifyNew,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Classify,4096,14.987 ns,0.2764 ns,0.0718 ns,0.10,0.00,0.0000,0.0000,0 B,NA
TrimmedOld,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,SplitTrimmed,16,42.953 ns,1.5204 ns,0.3948 ns,1.00,0.01,0.0125,0.0000,216 B,1.00
TrimmedNew,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,SplitTrimmed,16,47.577 ns,1.7769 ns,0.4614 ns,1.11,0.01,0.0126,0.0000,216 B,1.00
TrimmedOld,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,SplitTrimmed,256,303.144 ns,26.9299 ns,6.9936 ns,1.00,0.03,0.0974,0.0000,1656 B,1.00
TrimmedNew,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,SplitTrimmed,256,97.479 ns,4.5243 ns,1.1750 ns,0.32,0.01,0.0988,0.0000,1656 B,1.00
TrimmedOld,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,SplitTrimmed,4096,"3,434.024 ns",83.9057 ns,21.7900 ns,1.00,0.01,1.4694,0.0683,24696 B,1.00
TrimmedNew,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,SplitTrimmed,4096,678.524 ns,17.9159 ns,4.6527 ns,0.20,0.00,1.4713,0.0799,24696 B,1.00
